Time,B1,B2,B3,T1,T2,T3
06/07/2022 19:10:00,16,0,1,4,3,1
06/07/2022 19:15:00,13,0,0,0,2,2
06/07/2022 19:20:00,14,0,0,2,3,0
06/07/2022 19:25:00,11,0,0,1,3,1
06/07/2022 19:30:00,14,0,0,4,6,0
06/07/2022 19:35:00,6,0,0,0,2,1
06/07/2022 19:40:00,12,0,0,0,4,0
06/07/2022 19:45:00,10,0,0,0,1,2
06/07/2022 19:50:00,8,0,0,0,2,0
06/07/2022 19:55:00,9,0,0,2,2,0
06/07/2022 20:00:00,8,0,0,1,3,1
06/07/2022 20:05:00,9,0,0,1,2,1
06/07/2022 20:10:00,13,0,0,3,5,1
06/07/2022 20:15:00,5,0,0,5,0,0
06/07/2022 20:20:00,9,0,0,1,2,1
06/07/2022 20:25:00,7,0,0,1,4,0
06/07/2022 20:30:00,3,0,0,1,3,0
06/07/2022 20:35:00,11,0,0,1,2,0
06/07/2022 20:40:00,5,0,0,2,2,1
06/07/2022 20:45:00,6,0,0,0,2,0
06/07/2022 20:50:00,6,0,0,1,2,0
06/07/2022 20:55:00,7,0,0,1,3,1
06/07/2022 21:00:00,10,0,0,1,2,0
06/07/2022 21:05:00,11,0,0,1,5,0
06/07/2022 21:10:00,13,0,0,0,0,0
06/07/2022 21:15:00,8,0,0,1,4,1
06/07/2022 21:20:00,5,0,0,0,2,0
06/07/2022 21:25:00,7,0,0,0,4,0
06/07/2022 21:30:00,6,0,0,3,5,3
06/07/2022 21:35:00,3,0,0,0,5,0
06/07/2022 21:40:00,6,0,0,2,2,2
06/07/2022 21:45:00,4,0,0,0,0,1
06/07/2022 21:50:00,8,0,0,4,2,2
06/07/2022 21:55:00,6,0,0,1,1,1
06/07/2022 22:00:00,2,0,0,2,1,2
06/07/2022 22:05:00,2,0,0,4,2,0
06/07/2022 22:10:00,5,0,0,2,2,0
06/07/2022 22:15:00,2,0,0,0,1,0
